,u,i,ts,label,idx
0,1,6,1289241912.0,4,1
1,1,11,1289241942.0,2,2
2,2,58,1289243140.0,1,3
3,3,4815,1289245277.0,7,4
4,4,4816,1289254254.0,8,5
5,4,9,1289254301.0,8,6
6,5,11,1289362700.0,1,7
7,6,7,1289370557.0,5,8
8,6,4817,1289370622.0,5,9
9,7,6,1289380982.0,5,10
10,7,2,1289441411.0,8,11
11,7,9,1289441438.0,8,12
12,7,19,1289441451.0,9,13
13,7,4815,1289441526.0,7,14
14,8,4815,1289442313.0,5,15
15,8,22,1289489668.0,1,16
16,9,2,1289555656.0,8,17
17,9,1,1289555731.0,7,18
18,9,7,1289555746.0,8,19
19,9,19,1289555768.0,1,20
20,9,4818,1289555842.0,10,21
21,9,6,1289555871.0,7,22
22,9,4815,1289555876.0,7,23
23,3,10,1289641694.0,1,24
24,10,3,1289641704.0,1,25
25,11,2,1289660299.0,3,26
26,11,1,1289660319.0,3,27
27,11,5,1289660347.0,1,28
28,2,11,1289710643.0,4,29
29,1,3,1289770700.0,2,30
30,3,1,1289770757.0,5,31
31,6,3,1289771304.0,5,32
32,8,38,1289836082.0,1,33
33,8,4,1289873368.0,2,34
34,4,8,1289873612.0,2,35
35,4,12,1290088212.0,2,36
36,12,4,1290090118.0,2,37
37,8,4817,1290108487.0,2,38
38,3,13,1290197549.0,1,39
39,13,3,1290197554.0,2,40
40,14,1,1290300442.0,1,41
41,4,2,1290520564.0,8,42
42,5,15,1290644458.0,1,43
43,15,5,1290644477.0,1,44
44,14,2,1290666928.0,1,45
45,2,14,1290666953.0,1,46
46,2,15,1290750434.0,1,47
47,15,2,1290752776.0,1,48
48,15,4,1290758643.0,1,49
49,4,15,1290761557.0,1,50
50,1,5,1290826367.0,5,51
51,5,1,1290826591.0,3,52
52,2,8,1290969237.0,9,53
53,2,13,1291052765.0,2,54
54,13,2,1291055973.0,3,55
55,16,1,1291056175.0,2,56
56,2,4,1291090931.0,3,57
57,17,18,1291157823.0,1,58
58,18,17,1291159845.0,1,59
59,16,2,1291159911.0,1,60
60,8,2,1291217882.0,9,61
61,19,2,1291315232.0,3,62
62,5,12,1291376110.0,2,63
63,2,4817,1291505266.0,2,64
64,18,20,1291515528.0,1,65
65,20,18,1291515697.0,1,66
66,21,27,1291578872.0,1,67
67,21,5,1291590274.0,3,68
68,21,20,1291591178.0,1,69
69,20,21,1291591212.0,1,70
70,22,8,1291623781.0,1,71
71,22,928,1291623788.0,1,72
72,17,23,1291684580.0,1,73
73,23,17,1291684612.0,1,74
74,24,2,1291740271.0,2,75
75,4,5,1291757016.0,1,76
76,5,4,1291757032.0,1,77
77,12,25,1292070534.0,1,78
78,25,12,1292071379.0,1,79
79,12,26,1292085237.0,1,80
80,26,12,1292085280.0,1,81
81,27,21,1292099161.0,2,82
82,27,28,1292189306.0,2,83
83,28,27,1292189413.0,2,84
84,27,29,1292193828.0,2,85
85,29,27,1292195062.0,2,86
86,2,29,1292196392.0,1,87
87,29,2,1292196407.0,1,88
88,5,4815,1292200462.0,6,89
89,17,30,1292206237.0,2,90
90,30,17,1292206272.0,2,91
91,17,7,1292297573.0,2,92
92,7,17,1292297608.0,2,93
93,5,17,1292361186.0,3,94
94,17,5,1292361299.0,4,95
95,5,28,1292442402.0,4,96
96,28,5,1292442433.0,4,97
97,5,31,1292447857.0,1,98
98,31,5,1292490376.0,1,99
99,12,5,1292716197.0,2,100
100,3,44,1292795818.0,5,101
101,21,7,1292819158.0,2,102
102,7,21,1292819329.0,2,103
103,3,32,1292823618.0,2,104
104,32,3,1292823672.0,3,105
105,32,4817,1292823684.0,8,106
106,32,6,1292823728.0,2,107
107,16,33,1292920839.0,1,108
108,33,16,1292935948.0,2,109
109,34,2,1292957157.0,2,110
110,2,34,1292957196.0,2,111
111,3,35,1293050723.0,2,112
112,35,3,1293054743.0,2,113
113,7,5,1293191605.0,5,114
114,5,4817,1293409871.0,4,115
115,16,36,1293448473.0,1,116
116,16,55,1293448479.0,1,117
117,21,36,1293453342.0,2,118
118,36,21,1293453456.0,2,119
119,36,16,1293453463.0,2,120
120,2,37,1293481238.0,1,121
121,37,2,1293481552.0,8,122
122,5,38,1293481689.0,2,123
123,38,5,1293482235.0,1,124
124,3,65,1293523499.0,4,125
125,2,39,1293579274.0,1,126
126,39,2,1293579281.0,1,127
127,30,95,1293583961.0,1,128
128,40,45,1293603105.0,1,129
129,41,5,1293604544.0,1,130
130,5,41,1293604590.0,1,131
131,5,928,1293632317.0,5,132
132,14,22,1293643258.0,1,133
133,22,14,1293646340.0,1,134
134,22,4817,1293661056.0,1,135
135,32,77,1293665841.0,4,136
136,2,42,1293749574.0,1,137
137,42,2,1293749669.0,1,138
138,43,30,1293819840.0,1,139
139,30,43,1293820340.0,1,140
140,42,43,1293831461.0,1,141
141,43,42,1293831480.0,1,142
142,44,3,1293843254.0,2,143
143,22,36,1293888121.0,1,144
144,36,22,1293888137.0,1,145
145,45,40,1293930358.0,1,146
146,16,46,1293994480.0,1,147
147,46,16,1293996991.0,1,148
148,30,3,1294081163.0,1,149
149,3,30,1294081178.0,1,150
150,2,40,1294083688.0,2,151
151,40,2,1294083726.0,2,152
152,36,38,1294126590.0,3,153
153,38,36,1294152393.0,3,154
154,45,64,1294190543.0,1,155
155,8,47,1294192094.0,1,156
156,47,8,1294192615.0,1,157
157,36,48,1294244410.0,1,158
158,48,36,1294249081.0,1,159
159,30,49,1294262869.0,1,160
160,30,51,1294267265.0,1,161
161,49,30,1294267277.0,1,162
162,30,50,1294271218.0,1,163
163,50,30,1294274023.0,1,164
164,51,30,1294285069.0,1,165
165,3,52,1294300030.0,1,166
166,52,3,1294300186.0,1,167
167,47,36,1294395970.0,2,168
168,36,47,1294396076.0,2,169
169,30,53,1294426073.0,1,170
170,53,30,1294429630.0,1,171
171,43,52,1294429932.0,1,172
172,52,43,1294430000.0,1,173
173,5,53,1294438542.0,2,174
174,53,5,1294439194.0,2,175
175,45,54,1294546375.0,1,176
176,30,55,1294595719.0,1,177
177,54,45,1294599139.0,1,178
178,55,56,1294600322.0,1,179
179,56,55,1294600354.0,3,180
180,55,30,1294600355.0,1,181
181,55,16,1294600362.0,1,182
182,21,8,1294689381.0,3,183
183,8,21,1294689438.0,1,184
184,55,57,1294788722.0,1,185
185,57,55,1294854693.0,3,186
186,58,59,1294919859.0,2,187
187,59,58,1294927077.0,2,188
188,36,60,1294947597.0,4,189
189,60,36,1294953308.0,1,190
190,61,5,1294974058.0,3,191
191,2,47,1294982042.0,1,192
192,55,58,1294996844.0,1,193
193,58,55,1295011594.0,1,194
194,47,2,1295060559.0,1,195
195,2,62,1295163874.0,1,196
196,48,29,1295213497.0,2,197
197,29,48,1295213514.0,2,198
198,62,2,1295219865.0,1,199
199,63,62,1295223075.0,1,200
200,62,4819,1295223955.0,1,201
201,64,4818,1295282631.0,2,202
202,63,43,1295394666.0,2,203
203,21,3,1295416559.0,1,204
204,3,21,1295416572.0,1,205
205,30,82,1295460036.0,1,206
206,65,3,1295507765.0,4,207
207,57,66,1295538197.0,1,208
208,66,57,1295560693.0,1,209
209,47,67,1295620829.0,2,210
210,67,47,1295622239.0,3,211
211,43,68,1295647516.0,1,212
212,68,43,1295647537.0,1,213
213,59,40,1295720115.0,1,214
214,40,59,1295720325.0,1,215
215,57,67,1295806594.0,2,216
216,5,69,1295847190.0,1,217
217,69,5,1295847198.0,1,218
218,30,86,1295990233.0,1,219
219,30,40,1295995415.0,1,220
220,40,30,1295995480.0,1,221
221,67,57,1296071386.0,2,222
222,22,5,1296076062.0,5,223
223,5,70,1296085723.0,1,224
224,70,5,1296085848.0,1,225
225,45,71,1296096742.0,2,226
